10000,100,225,27
40000,200,265,41
90000,300,283,96
160000,400,424,141
250000,500,627,241
360000,600,846,232
490000,700,1087,217
640000,800,915,336
810000,900,1109,386
1000000,1000,1679,700
1210000,1100,1286,612
1440000,1200,1639,595
1690000,1300,974,714
1960000,1400,1193,1063
2250000,1500,901,832
2560000,1600,1245,921
2890000,1700,821,1061
3240000,1800,865,1098
3610000,1900,1241,1327
4000000,2000,1107,1736
4410000,2100,1101,1568
4840000,2200,1077,2007
5290000,2300,1069,1717
5760000,2400,1497,1974
6250000,2500,1537,2263
6760000,2600,1572,2233
7290000,2700,1635,2599
7840000,2800,1803,3211
8410000,2900,1437,3161
9000000,3000,1566,4424
9610000,3100,1716,3950
10240000,3200,1754,3699
10890000,3300,2003,4314
11560000,3400,1855,3748
12250000,3500,2046,4660
12960000,3600,2259,4359
13690000,3700,2157,4984
14440000,3800,2339,4690
15210000,3900,2309,5316
16000000,4000,2502,5246
16810000,4100,2543,5630
17640000,4200,2791,6466
18490000,4300,2855,6047
19360000,4400,3238,6651
20250000,4500,3143,7594
21160000,4600,3243,7164
22090000,4700,3294,7477
23040000,4800,3712,11476
24010000,4900,3727,8233
25000000,5000,3814,8979
26010000,5100,3861,9928
27040000,5200,3982,9218
28090000,5300,4100,10048
29160000,5400,4275,9281
30250000,5500,4466,9919
31360000,5600,4713,10323
32490000,5700,4938,11165
33640000,5800,4740,11512
34810000,5900,5001,11794
36000000,6000,5173,11951
37210000,6100,5561,11847
38440000,6200,5249,16645
39690000,6300,5057,13115
40960000,6400,5022,15051
42250000,6500,5280,16939
43560000,6600,5276,13797
44890000,6700,5322,14996
46240000,6800,5065,15136
47610000,6900,5416,17127
49000000,7000,5368,16761
50410000,7100,5456,15874
51840000,7200,5897,17247
53290000,7300,5874,18340
54760000,7400,6013,17922
56250000,7500,6115,17986
57760000,7600,6243,21750
59290000,7700,6312,20800
60840000,7800,6475,19841
62410000,7900,6642,20125
64000000,8000,6780,22559
65610000,8100,7030,21930
67240000,8200,7241,25130
68890000,8300,7483,22328
70560000,8400,7633,23577
72250000,8500,7948,24184
73960000,8600,7836,23983
75690000,8700,8161,24581
77440000,8800,8402,26127
79210000,8900,8435,26093
81000000,9000,8749,25927
82810000,9100,9096,28912
84640000,9200,9109,27614
86490000,9300,9481,28299
88360000,9400,9453,38870
90250000,9500,9481,36838
92160000,9600,10069,42312
94090000,9700,10081,33247
96040000,9800,10062,31805
98010000,9900,10634,31164
100000000,10000,13700,31645
